order_id,restaurant_id,food_item,order_time,delivery_time,delivery_distance,order_value,delivery_method,traffic_condition,weather_condition,delivery_time_actual,delivery_delay,route_taken,customer_id,age,gender,location,order_history,customer_rating,preferred_cuisine,order_frequency,loyalty_program,food_temperature,food_freshness,packaging_quality,food_condition,customer_satisfaction,small_route,bike_friendly_route,route_type,route_efficiency,predicted_delivery_mode,traffic_avoidance
c4566aB,50,CoffeeBoba tea,2024-03-20,2024-03-20,4.99,13.76,Car,High,Sunny,0.0,12.49,Route_2,2633f09e-52b4-4f05-9189-1c71df306ba3,23,Male,City_8,12,5,American,Weekly,No,Hot,1,5,Fair,4,True,True,Car-only,0.8657737925581791,Car,Yes
aaa70fC,42,Cookie,2024-04-27,2024-04-27,9.4,10.31,Car,Medium,Rainy,0.0,3.35,Route_4,c9bb3f30-af6e-41b9-9c0a-996235c0f2ee,49,Other,City_5,43,5,Mediterranean,Weekly,Yes,Hot,1,5,Poor,2,False,True,Car-only,0.3183522520170017,Car,No
343578T,45,Pasta,2024-04-20,2024-04-20,4.93,5.39,Walk,High,Sunny,0.0,14.05,Route_1,ebb1a300-396a-43f5-8e0f-5dc6dc12e8f6,18,Other,City_4,38,1,Italian,Weekly,Yes,Cold,4,1,Fair,5,False,True,Bike-friendly,0.8711672888380417,Car,Yes
e107daB,34,Pasta,2024-08-05,2024-08-05,3.77,8.48,Car,High,Rainy,0.0,19.18,Route_1,1b8e11d1-65b9-4e8b-b42b-2b0d23aa3a6b,36,Other,City_9,37,4,Asian,Weekly,No,Hot,5,5,Fair,1,True,True,Car-only,0.7265973138972689,Car,No
ef212cB,42,Pasta,2024-11-02,2024-11-02,3.31,46.15,Car,Low,Snowy,0.0,0.6,Route_4,40071b49-a8d5-4f43-887a-bf17dc8cfe20,20,Female,City_1,48,2,Mexican,Weekly,Yes,Warm,5,2,Fair,3,False,True,Mixed,0.9492445402045535,Car,Yes
e4f449A,72,Chicken pie,2024-10-17,2024-10-17,7.3,21.11,Walk,Low,Sunny,0.0,13.22,Route_5,d1003d99-1be6-4670-88fd-37f155e36545,37,Other,City_1,39,5,Italian,Monthly,Yes,Warm,1,3,Poor,1,True,True,Car-only,0.05212308445359981,Bike,No
036d8eJ,36,Chicken rice,2024-02-12,2024-02-12,11.93,39.61,Car,Medium,Snowy,0.0,8.84,Route_4,edcd416c-c35d-4aeb-b2dc-4261f9424e9e,38,Other,City_8,45,5,Mexican,Monthly,Yes,Hot,2,3,Fair,1,False,True,Car-only,0.8428015267504667,Car,Yes
cdd839J,5,Salad,2024-07-28,2024-07-28,7.48,26.81,Bike,Medium,Sunny,0.0,2.09,Route_1,d5357b33-3690-4bbc-9534-42adc465ff53,18,Other,City_10,39,5,American,Monthly,Yes,Warm,1,4,Good,3,False,False,Bike-friendly,0.8861637233420075,Bike,Yes
c1bfccS,97,Burritos,2024-03-26,2024-03-26,13.52,46.08,Walk,Low,Sunny,0.0,-1.81,Route_4,f2e4ba2d-088d-4b71-8213-36eecfae8ed1,58,Male,City_1,14,2,Mediterranean,Weekly,Yes,Cold,3,2,Fair,5,False,True,Car-only,0.09245545570215596,Car,No
0137c4V,26,Taccos,2024-01-28,2024-01-28,11.97,27.55,Car,Low,Sunny,0.0,16.39,Route_5,9287fa12-e8c9-484a-8e54-9527f1717349,23,Female,City_3,28,3,Asian,Weekly,Yes,Hot,1,4,Fair,3,False,False,Mixed,0.2029310526576933,Bike,No
13c93dS,83,CoffeeBoba tea,2024-03-27,2024-03-27,9.62,29.43,Bike,Low,Sunny,0.0,-4.52,Route_2,2b834148-8387-4a77-9cf3-3eb6ed54281c,53,Male,City_1,27,4,Mexican,Monthly,Yes,Hot,2,2,Fair,4,False,False,Bike-friendly,0.3087072111605922,Car,No
8e22d6D,15,Pasta,2024-03-23,2024-03-23,13.48,47.46,Car,Medium,Snowy,0.0,7.27,Route_5,ebe0637a-b91c-4d2b-a82d-06c545e7c15c,57,Female,City_2,19,2,Mexican,Monthly,No,Hot,5,3,Good,1,False,True,Bike-friendly,0.27075746054861427,Car,No
a504b0M,95,Salad,2024-06-21,2024-06-21,10.18,43.76,Walk,High,Rainy,0.0,5.19,Route_5,3841c278-a867-4bde-b3de-26fd573d8c6f,56,Female,City_5,31,4,Mediterranean,Weekly,Yes,Hot,3,3,Poor,1,True,True,Mixed,0.6638666744504372,Car,No
e9701bS,32,Chicken rice,2024-12-09,2024-12-09,5.21,36.17,Car,High,Rainy,0.0,11.5,Route_3,3157bb26-c335-489d-b12c-e4a514e46d28,39,Other,City_10,3,1,Asian,Weekly,Yes,Warm,1,2,Fair,4,True,True,Bike-friendly,0.5780885404782308,Car,No
ba1bd6N,72,Dumplings,2024-07-17,2024-07-17,12.23,14.45,Walk,Low,Snowy,0.0,15.33,Route_5,2df27ecb-2bd3-4b7e-9f4e-36d806ca0692,41,Female,City_5,49,2,Italian,Monthly,No,Hot,3,4,Poor,2,True,False,Mixed,0.6480145938225698,Bike,No
1c9028S,62,Salad,2024-03-17,2024-03-17,7.47,35.34,Car,High,Snowy,0.0,-0.87,Route_4,81fac0dc-09e1-4205-948f-e9873fc7ecb2,25,Other,City_2,19,1,American,Monthly,Yes,Hot,2,1,Good,5,True,False,Car-only,0.7995903447523032,Car,No
5633d4T,56,Briyani rice,2024-07-27,2024-07-27,6.25,13.32,Walk,High,Snowy,0.0,15.13,Route_1,1c8835c9-c442-4a5e-b724-bdb12f2a8c2b,58,Female,City_1,2,2,Asian,Weekly,Yes,Hot,3,2,Good,1,True,False,Mixed,0.7835723329455896,Car,No
b6ef64S,40,Briyani rice,2024-02-12,2024-02-12,8.56,24.65,Walk,Low,Rainy,0.0,9.72,Route_3,55b325b6-b064-4579-89aa-366d2433b2ed,37,Other,City_3,25,1,American,Monthly,Yes,Cold,4,5,Good,5,True,False,Car-only,0.639062238976435,Car,No
ae28e9V,1,Whole cake,2024-07-19,2024-07-19,4.73,44.68,Walk,High,Rainy,0.0,16.14,Route_1,e48a9d5a-32fb-492e-94dd-db1e86e0bfa7,46,Other,City_7,45,2,Mediterranean,Weekly,No,Cold,3,4,Poor,3,False,True,Mixed,0.6329696568566263,Car,No
a4eed8D,69,Pasta,2024-10-17,2024-10-17,3.53,36.31,Car,Low,Rainy,0.0,3.67,Route_3,9bb01df8-f273-4944-83b3-2353ffa9b838,49,Male,City_3,2,1,Asian,Monthly,Yes,Hot,5,2,Fair,4,False,True,Bike-friendly,0.7017454123275011,Bike,No
96e21aA,46,Chicken rice,2024-03-10,2024-03-10,8.65,9.43,Car,Medium,Rainy,0.0,12.13,Route_2,c7e8b03d-c1ae-4be9-b02c-e543051e0d4d,24,Other,City_3,13,1,Asian,Weekly,Yes,Hot,3,2,Good,1,False,True,Car-only,0.25627984334126686,Car,No
37cc4dK,51,Chicken wings,2024-10-21,2024-10-21,14.2,18.91,Walk,High,Sunny,0.0,8.64,Route_2,026d1a51-f8a4-42d0-ade6-4742b1862113,33,Female,City_7,42,3,Asian,Monthly,No,Hot,5,3,Fair,4,False,True,Car-only,0.6401465173493266,Car,No
c12e69A,42,Salad,2024-01-13,2024-01-13,5.93,39.9,Bike,High,Rainy,0.0,12.89,Route_4,777604cd-e09d-40ac-9a54-91f50ae03f83,22,Male,City_10,48,2,Mexican,Monthly,No,Hot,3,2,Poor,1,False,True,Car-only,0.965970439997768,Car,Yes
d0437fJ,48,Pizza,2024-06-22,2024-06-22,14.11,40.09,Car,Medium,Sunny,0.0,2.07,Route_2,cb38884f-2de8-4e4e-9073-9acda36bf3ca,31,Other,City_8,38,5,Asian,Weekly,Yes,Warm,3,5,Poor,2,True,False,Car-only,0.3971330657275013,Car,No
609591K,12,Salad,2024-02-24,2024-02-24,7.27,9.71,Bike,Low,Sunny,0.0,15.09,Route_2,f84d6c75-167a-4df9-a9bf-987444c20da3,33,Other,City_7,25,5,Asian,Weekly,Yes,Cold,2,1,Fair,1,False,True,Car-only,0.8473256429052958,Car,Yes
4a5a15Q,87,Pasta,2024-03-01,2024-03-01,10.87,22.58,Car,Medium,Snowy,0.0,14.37,Route_4,1758600b-2463-4f73-bc62-d711b104cb18,21,Female,City_3,31,1,American,Monthly,Yes,Hot,3,1,Poor,4,False,False,Car-only,0.24854455399688513,Car,No
7e3eafP,91,Cup cake,2024-07-01,2024-07-01,8.48,34.62,Bike,High,Sunny,0.0,5.04,Route_3,c3ce1502-3445-4d32-b5a7-1c7562a7f531,46,Other,City_10,45,4,Asian,Weekly,No,Hot,5,1,Poor,3,True,False,Mixed,0.7056247813534949,Car,No
a03a0fB,65,PastrySmoothie,2024-08-27,2024-08-27,13.13,31.61,Bike,High,Rainy,0.0,1.39,Route_1,625c2a65-778e-4d1d-9d87-29dbf9205102,53,Male,City_10,27,4,American,Monthly,No,Cold,5,5,Fair,3,True,True,Bike-friendly,0.9694889067427752,Car,Yes
44c448W,45,Whole cake,2024-09-10,2024-09-10,12.61,8.51,Bike,Medium,Rainy,0.0,-1.95,Route_3,eaab89b7-519f-4e5b-a305-30437213fcca,36,Male,City_9,43,5,American,Weekly,Yes,Warm,3,3,Poor,3,True,False,Bike-friendly,0.9210558860734182,Bike,Yes
a5f84cE,44,Dumplings,2024-03-18,2024-03-18,12.34,25.0,Bike,High,Snowy,0.0,6.26,Route_4,6bea3189-fc95-4281-9c0b-2e2b47ab2cee,47,Other,City_5,45,3,Italian,Monthly,Yes,Cold,5,1,Fair,3,False,False,Bike-friendly,0.6885922598202477,Car,No
5edd83W,3,Burritos,2024-03-08,2024-03-08,7.33,22.31,Walk,High,Rainy,0.0,14.21,Route_1,5f8d480f-161f-478e-9cdc-753e992f1174,29,Male,City_7,27,4,Mediterranean,Monthly,Yes,Hot,2,3,Good,4,True,True,Mixed,0.1519353896992114,Car,No
35c48dQ,72,Shawarma,2024-02-13,2024-02-13,5.79,40.82,Car,Low,Snowy,0.0,-3.27,Route_5,a187eb8e-2129-4703-ba63-cdd1bc2a3d3f,35,Male,City_7,50,5,Mexican,Weekly,Yes,Cold,2,3,Poor,5,True,False,Mixed,0.5005835028134139,Bike,No
05f190I,23,CoffeeBoba tea,2024-03-18,2024-03-18,8.36,43.4,Bike,Low,Rainy,0.0,-3.75,Route_1,06c2f9ff-2876-4483-89fa-e425a25fe5f7,55,Female,City_2,5,5,Mexican,Monthly,Yes,Warm,4,1,Poor,1,False,True,Car-only,0.5197380495269783,Car,No
2a4be3D,8,Soup,2024-08-29,2024-08-29,2.24,24.48,Walk,Low,Rainy,0.0,0.72,Route_3,97a6c857-9b31-4888-95d0-ac03c3ef89c7,41,Female,City_8,24,1,Mediterranean,Weekly,Yes,Cold,1,1,Poor,2,False,True,Mixed,0.8955420976497195,Bike,Yes
c11266K,25,Shawarma,2024-08-21,2024-08-21,8.31,25.13,Walk,High,Rainy,0.0,13.65,Route_2,115356ad-a647-40e2-a13c-f7b1a16cc086,34,Other,City_7,3,3,Italian,Monthly,No,Warm,4,2,Good,4,True,False,Mixed,0.8843519934187871,Car,Yes
4c8e0fN,65,Pizza,2024-02-26,2024-02-26,7.7,10.8,Bike,Medium,Snowy,0.0,6.19,Route_5,f2e12400-c82e-4fea-b4f3-5966a6cc2134,57,Other,City_5,7,3,Asian,Monthly,No,Warm,4,2,Good,4,False,False,Car-only,0.22689577956591545,Car,No
05f0c2J,77,Cookie,2024-10-27,2024-10-27,3.62,38.18,Car,Medium,Snowy,0.0,1.36,Route_1,fa5864b2-fe20-4e10-9240-2234b598e4e8,47,Other,City_1,24,2,Mexican,Monthly,Yes,Hot,1,5,Good,3,False,True,Mixed,0.6126519004477465,Car,No
2863f5F,41,PastrySmoothie,2024-08-20,2024-08-20,10.16,40.61,Bike,Low,Snowy,0.0,-9.22,Route_4,b9be59b2-22d8-4e44-92bc-91aa6dafffb0,56,Male,City_9,25,2,Mexican,Monthly,Yes,Hot,2,5,Poor,2,False,True,Car-only,0.22741426926544572,Car,No
f7e6e7T,93,Burritos,2024-09-22,2024-09-22,7.37,31.47,Walk,Low,Sunny,0.0,15.48,Route_2,8923a055-8464-4a51-b189-6c24795b55cb,32,Male,City_7,46,4,Asian,Weekly,No,Warm,1,1,Fair,2,False,True,Bike-friendly,0.9993238055908653,Car,Yes
423d60T,47,Salad,2024-12-06,2024-12-06,3.05,16.86,Bike,High,Rainy,0.0,3.96,Route_3,f6fbaf95-1ca5-4217-ad53-8322c76af4c3,29,Other,City_8,50,5,Mediterranean,Weekly,Yes,Warm,1,2,Poor,2,True,True,Car-only,0.2994401728249205,Car,No
58084dS,6,Cookie,2024-07-30,2024-07-30,12.34,6.17,Bike,Low,Sunny,0.0,-0.68,Route_1,33e6b370-a1a9-4e28-8299-4cc49dfda103,21,Male,City_2,41,3,Italian,Weekly,Yes,Cold,3,5,Poor,1,False,True,Bike-friendly,0.553339658157888,Bike,No
37637bI,94,Taccos,2024-08-22,2024-08-22,9.14,15.22,Walk,Low,Rainy,0.0,5.46,Route_1,9587d415-84ef-4eae-a22c-99f31da7e8cf,36,Other,City_10,32,3,Mexican,Weekly,No,Hot,5,1,Fair,3,True,True,Bike-friendly,0.6687894890967164,Bike,No
a8558eB,9,Chicken pie,2024-10-05,2024-10-05,4.84,38.07,Walk,High,Rainy,0.0,14.93,Route_4,b3dae4a7-b05b-4c50-a2e4-e6d6ccfc004a,40,Other,City_6,15,4,Asian,Monthly,No,Hot,3,3,Good,5,False,True,Car-only,0.5304568417296222,Car,No
ab8d44N,63,Pizza,2024-11-30,2024-11-30,11.42,14.01,Bike,High,Rainy,0.0,-3.27,Route_5,10c45ae2-3f08-4c0e-9dd1-8828fde51897,36,Female,City_8,29,1,Italian,Monthly,Yes,Cold,1,5,Poor,5,True,True,Bike-friendly,0.7791876009407976,Car,No
08df47E,100,Soup,2024-08-29,2024-08-29,11.44,43.75,Bike,Medium,Rainy,0.0,12.12,Route_4,51dbada9-527d-41fd-af93-d42003e7135b,55,Other,City_6,9,1,Mexican,Monthly,Yes,Warm,5,5,Fair,3,True,True,Bike-friendly,0.9133455496296495,Bike,Yes
9a99e4K,4,Cup cake,2024-04-15,2024-04-15,9.62,11.27,Walk,Low,Sunny,0.0,-3.31,Route_5,ad11f4a9-e289-4257-9da1-d5ec2587e9f2,60,Other,City_10,40,2,Italian,Weekly,Yes,Warm,3,3,Good,5,False,False,Car-only,0.5182639640117941,Car,No
ece569Z,13,Whole cake,2024-02-15,2024-02-15,8.55,43.48,Car,Low,Rainy,0.0,-1.2,Route_5,567b7035-c33b-46e7-921f-f63fa4fcea4b,60,Male,City_6,35,3,Asian,Weekly,No,Warm,5,1,Fair,3,True,False,Car-only,0.6382320603457028,Car,No
2e2819C,21,Taccos,2024-06-22,2024-06-22,2.15,16.81,Bike,Low,Rainy,0.0,19.38,Route_1,33110ca0-3f5f-4521-8b37-8cee8b16fd45,34,Male,City_8,3,3,American,Monthly,Yes,Hot,2,4,Poor,2,False,False,Mixed,0.9134191288657226,Car,Yes
b069c7A,81,Taccos,2024-04-07,2024-04-07,2.1,12.8,Walk,Medium,Sunny,0.0,11.74,Route_2,a3df58ec-96fe-4132-b19b-e8a91a2dd693,23,Male,City_10,17,2,Mediterranean,Monthly,No,Cold,4,2,Good,2,True,True,Mixed,0.6968016411011041,Bike,No
15760aC,53,Burger,2024-06-20,2024-06-20,12.67,41.17,Car,Low,Snowy,0.0,10.74,Route_2,411b8170-4b51-48d6-8695-43cb3dbafc25,53,Other,City_7,46,3,Italian,Monthly,Yes,Cold,4,1,Poor,1,True,True,Car-only,0.14191627399359874,Bike,No
9070b4N,20,Cup cake,2024-01-26,2024-01-26,6.9,47.64,Walk,Low,Sunny,0.0,0.49,Route_3,e84a9a6c-0f29-493a-a416-bb5080294c91,49,Female,City_7,28,2,Italian,Weekly,Yes,Hot,1,1,Poor,4,False,True,Car-only,0.3473458743842902,Car,No
8008e4E,11,Briyani rice,2024-01-25,2024-01-25,8.1,7.31,Car,Medium,Rainy,0.0,-6.29,Route_3,34aa0a17-68f8-44e7-a2e9-6a0f95cd21d5,29,Other,City_3,5,5,Asian,Weekly,No,Cold,1,4,Good,5,False,False,Mixed,0.7948983727881034,Car,No
547b53S,20,Chicken wings,2024-01-03,2024-01-03,11.09,31.52,Bike,Medium,Rainy,0.0,-8.88,Route_3,dc618bfd-a578-406a-b335-25e2e49d7f8f,43,Female,City_6,8,4,American,Weekly,Yes,Hot,2,4,Fair,3,True,False,Mixed,0.08812268900491416,Bike,No
adbe16Z,20,Pasta,2024-05-26,2024-05-26,15.0,28.89,Car,High,Snowy,0.0,-1.25,Route_4,c5396ea5-4957-45b4-95d7-974a0ec481cd,28,Female,City_7,20,4,Asian,Weekly,Yes,Cold,2,1,Fair,1,False,False,Car-only,0.5578109308148719,Car,No
82b144C,9,Burritos,2024-08-28,2024-08-28,9.88,18.72,Walk,High,Snowy,0.0,11.27,Route_4,469bc866-c1fc-454a-ac1f-21044ae55536,39,Male,City_5,8,1,Asian,Weekly,No,Cold,3,1,Good,4,True,True,Bike-friendly,0.7852162365245751,Car,No
6c70b1Y,69,Cup cake,2024-04-04,2024-04-04,12.64,33.61,Bike,Low,Snowy,0.0,-5.25,Route_5,929d1b59-6e96-4d1e-b834-3345e41434ee,18,Other,City_7,24,4,Asian,Monthly,No,Hot,3,3,Good,3,True,False,Mixed,0.8072004519098754,Car,Yes
2d081dF,16,Cookie,2024-04-26,2024-04-26,10.04,47.82,Walk,High,Sunny,0.0,9.13,Route_2,9bad0e83-2cc1-4921-a9cd-31ecbdd20016,52,Other,City_9,35,1,Mediterranean,Monthly,No,Hot,5,5,Poor,2,False,False,Mixed,0.6640574801838941,Car,No
04267eY,59,Cup cake,2024-03-25,2024-03-25,14.87,6.47,Car,Low,Snowy,0.0,2.26,Route_5,fceb2f79-a7a7-4857-b5c8-333fb5569d96,42,Male,City_3,27,5,American,Monthly,No,Cold,4,1,Poor,2,False,False,Mixed,0.6643104695967436,Bike,No
f1456eH,18,Beef pie,2024-04-01,2024-04-01,4.27,24.16,Car,High,Rainy,0.0,6.34,Route_3,9e646f2d-3f71-4d72-9b3d-a5237c10c297,44,Female,City_1,27,2,Mexican,Weekly,Yes,Hot,3,1,Poor,3,True,True,Bike-friendly,0.8536756837355326,Car,Yes
ea2237C,44,Chicken pie,2024-12-12,2024-12-12,8.34,15.17,Bike,High,Sunny,0.0,-8.18,Route_3,089ece87-fea1-4c03-b467-d2b57f1f4445,50,Female,City_3,24,5,Mexican,Weekly,No,Hot,4,2,Fair,2,True,True,Mixed,0.09601368522299591,Car,No
f0a518Q,2,Cup cake,2024-04-14,2024-04-14,11.13,43.47,Bike,Low,Sunny,0.0,-6.52,Route_5,ca7ccce8-66a8-41e2-a70d-af698101c50d,28,Other,City_6,23,4,Mediterranean,Weekly,Yes,Hot,2,3,Fair,1,False,True,Bike-friendly,0.0268894111736504,Bike,No
55c926O,36,Cup cake,2024-09-29,2024-09-29,10.76,13.14,Car,Medium,Snowy,0.0,-1.76,Route_1,7c8049c1-4a2c-48db-b5ce-d30443c3f8d1,23,Other,City_7,28,3,Asian,Weekly,No,Warm,4,5,Poor,3,False,False,Bike-friendly,0.7182756951597435,Bike,No
b14d66U,18,Chicken pie,2024-06-09,2024-06-09,3.81,13.17,Walk,Medium,Sunny,0.0,-7.02,Route_3,b0d0a83a-5e63-4ce0-883a-66898e942677,30,Other,City_8,19,5,American,Weekly,Yes,Warm,5,3,Good,4,True,False,Mixed,0.7232475809776845,Car,No
92e5e4N,41,Burritos,2024-11-12,2024-11-12,14.71,36.55,Walk,Low,Snowy,0.0,11.51,Route_4,2de3b004-deef-4dbe-907e-0de364409a7c,55,Other,City_4,10,2,Italian,Weekly,No,Warm,5,4,Poor,4,False,True,Bike-friendly,0.6969601925593256,Car,No
f38265F,96,Briyani rice,2024-03-31,2024-03-31,3.08,15.62,Car,High,Snowy,0.0,10.49,Route_2,8b2fa62b-a23a-408b-959f-060c70c1a063,31,Other,City_2,43,4,Mediterranean,Weekly,No,Warm,3,1,Poor,2,True,True,Mixed,0.9067220969436972,Car,Yes
726faaE,39,Sushi,2024-11-10,2024-11-10,13.2,42.18,Walk,High,Sunny,0.0,-0.74,Route_3,32a55fdd-9f99-49b4-a78e-2b4ef5472901,47,Female,City_3,43,3,Asian,Weekly,Yes,Warm,4,3,Fair,1,False,True,Car-only,0.6549367912806132,Car,No
ae8cc4S,86,Beef pie,2024-02-09,2024-02-09,7.71,24.34,Car,Low,Sunny,0.0,16.58,Route_2,d5f6b1f3-4606-426b-8f6a-3bbddb97809a,52,Other,City_5,37,2,Asian,Monthly,Yes,Hot,4,1,Good,2,False,True,Car-only,0.45978247189813815,Car,No
58da57R,35,Pasta,2024-07-02,2024-07-02,11.25,40.28,Walk,Medium,Sunny,0.0,-2.4,Route_1,361a0434-3ee2-46e0-9682-1db7c7ef17f5,58,Male,City_9,6,4,American,Weekly,Yes,Warm,2,3,Poor,1,True,True,Mixed,0.01118357564941408,Bike,No
baf7f7R,3,Chicken wings,2024-11-06,2024-11-06,12.17,22.16,Car,High,Rainy,0.0,-3.55,Route_2,53c5cdc4-90b3-4ebc-8f3d-1af53b5d5768,21,Other,City_5,12,3,Asian,Weekly,No,Cold,5,4,Good,5,False,False,Bike-friendly,0.9928521775087437,Car,Yes
55126dB,92,Cookie,2024-11-10,2024-11-10,10.09,5.2,Bike,Low,Rainy,0.0,14.44,Route_3,e4725e0d-1a9f-4ea7-b3f6-4ef1dae16d88,24,Male,City_4,29,3,Mediterranean,Weekly,No,Cold,2,4,Fair,2,True,True,Bike-friendly,0.4216803418821493,Bike,No
3e23eeE,87,Salad,2024-07-24,2024-07-24,8.32,8.87,Bike,Low,Sunny,0.0,-2.91,Route_3,b08a373f-07d3-4c58-93da-858ec77b1127,36,Female,City_2,30,1,American,Monthly,No,Cold,2,4,Poor,3,True,True,Bike-friendly,0.30576432499874806,Bike,No
db9ad2J,8,Pizza,2024-09-03,2024-09-03,5.88,42.18,Walk,Medium,Rainy,0.0,-4.03,Route_3,3a0a8be2-5993-4b86-9eba-936986e278a7,58,Other,City_6,46,5,Asian,Weekly,No,Warm,5,4,Good,2,False,False,Mixed,0.1461152549827207,Car,No
19ebb2H,48,Chicken wings,2024-02-22,2024-02-22,13.37,15.42,Walk,Low,Snowy,0.0,3.99,Route_3,c9ed9acc-6d3b-4bbb-8baa-1200d3d92d79,24,Other,City_3,39,2,Italian,Monthly,No,Hot,2,3,Good,1,False,False,Mixed,0.3769998812043748,Car,No
aa74ddZ,75,Briyani rice,2024-07-28,2024-07-28,11.99,13.02,Car,Low,Snowy,0.0,6.98,Route_2,fb6a7c16-9cf4-4fb7-9d02-ddf20e0be154,23,Female,City_9,42,3,American,Monthly,No,Hot,4,1,Poor,2,True,False,Bike-friendly,0.6454684696054085,Car,No
093264F,24,Dumplings,2024-08-05,2024-08-05,13.3,21.63,Car,Low,Sunny,0.0,-0.78,Route_1,c0925c33-53e0-45e9-a392-7476dc533225,55,Other,City_8,13,1,Mediterranean,Weekly,No,Cold,5,2,Fair,1,False,False,Car-only,0.2150121296507863,Car,No
0f6018Q,65,Chicken rice,2024-11-01,2024-11-01,8.21,12.33,Car,High,Rainy,0.0,-3.68,Route_4,2faca5db-3f66-455d-b760-6010746a0efa,35,Other,City_6,23,3,Asian,Monthly,No,Warm,4,4,Good,1,False,False,Bike-friendly,0.8536809338442077,Car,Yes
